type,name,edge
pp_Camera,Купол 010001-01_P мкр. 1а (Сквер между домами 9 и 13),Saran
pp_Camera,Купол 010005-04_P ул. Жамбыла - ул. Абая перекресток,Saran
pp_Camera,Купол 010006-04_P ул. Жамбыла - ул. Кужанова перекресток,Saran
pp_Camera,Купол 010007-04_P ул. Жамбыла - ул. Рабочая перекресток,Saran
pp_Camera,Купол 010008-10_P ул. Жамбыла - ул. Шахтерская перекресток,Saran
pp_Camera,Купол 010009-09_P ул. Жамбыла - ул. Жакенова перекресток,Saran
pp_Camera,Купол 010010-07_P ул. Жамбыла - пр. Ленина перекресток,Saran
pp_Camera,Купол 010011-07_P ул. Жамбыла - ул. Саранская перекресток,Saran
pp_Camera,Купол 010012-04_P ул. Победы - ул. Абая перекресток,Saran
pp_Camera,Купол 010013-04_P ул. Победы - ул. Кужанова перекресток,Saran
pp_Camera,Купол 010014-07_P ул. Победы - пр. Ленина перекресток,Saran
pp_Camera,Купол 010015-01_P ул. Победы - ул. Шахтерская перекресток,Saran
pp_Camera,Купол 010016-01_P ул. Победы - ул. Жакенова перекресток,Saran
pp_Camera,Купол 010017-01_P ул. Победы - ул. Зиминой перекресток,Saran
pp_Camera,Купол 010018-01_P ул. Победы - ул. Коминтерна перекресток,Saran
pp_Camera,Купол 010019-04_P ул. Победы - ул. Рабочая перекресток,Saran
pp_Camera,Купол 010020-01_P ул. Победы - ул. Саранская перекресток,Saran
pp_Camera,Купол 010021-01_P ул. Рабочая - ул. Буденного перекресток,Saran
pp_Camera,Купол 010023-04_P ул. Чкалова - ул. Рабочая перекресток,Saran
pp_Camera,Купол 010024-01_P ул. Чкалова - ул. Абая перекресток,Saran
pp_Camera,Купол 010025-01_P ул. Чкалова - ул. Кужанова перекресток,Saran
pp_Camera,Купол 010026-01_P ул. Чкалова - ул. Саранская перекресток (Автостанция),Saran
pp_Camera,Купол 010026-02_P ул. Чкалова - ул. Саранская перекресток (Автостанция),Saran
pp_Camera,Купол 010027-03_P ул. Чкалова - ул. Шахтерская перекресток,Saran
pp_Camera,"Купол 010029-01_P ул. Центральный проезд, 15 (магазин ""Хуторок"")",Saran
pp_Camera,"Купол 010030-01_P ул. Абая, 25а (ШГ №17)",Saran
pp_Camera,"Купол 010031-01_P ул. Абая, 7",Saran
pp_Camera,"Купол 010034-07_P пр. Ленина (Сквер за ""Дом культуры г. Сарани"")",Saran
pp_Camera,"Купол 010036-06_P пр. Ленина (Площадь перед ""Дом культуры г. Сарани"")",Saran
pp_Camera,"Купол 010037-01_P ул. Победы (Остановка ""Отдел занятости"")",Saran
pp_Camera,"Купол 010038-01_P ул. Рабочая, 2",Saran
pp_Camera,"Купол 010039-01_P ул. Чкалова, 1",Saran
pp_Camera,"Купол 010040-04_P пр. Ленина, 2 (Дом Дружбы)",Saran
pp_Camera,"Купол 010042-01_P ул. Шахтерская, 47 (Сквер)",Saran
pp_Camera,Купол 010044-01_P ул. Чкалова - ул. Жакенова перекресток,Saran
pp_Camera,Перекресток 010008-09_X0 Обработчик ул. Жамбыла - ул. Шахтерская перекресток,Saran
pp_Camera,Перекресток 010023-06_X0 Обработчик ул. Чкалова - ул. Рабочая перекресток,Saran
pp_Camera,Рубеж 010007-05_R0 Обработчик ул. Жамбыла - ул. Рабочая перекресток,Saran
pp_Camera,Рубеж 010008-08_R0 Обработчик ул. Жамбыла - ул. Шахтерская перекресток,Saran
pp_Camera,Рубеж 010011-08_R0 Обработчик ул. Жамбыла - ул. Саранская перекресток,Saran
pp_Camera,Рубеж 010021-02_R0 Обработчик ул. Рабочая - ул. Буденного перекресток,Saran
pp_Camera,Рубеж 010021-03_R0 Обработчик ул. Рабочая - ул. Буденного перекресток,Saran
pp_Camera,Рубеж 010023-05_R0 Обработчик ул. Чкалова - ул. Рабочая перекресток,Saran
pp_Camera,Рубеж 010027-04_R0 Обработчик ул. Чкалова - ул. Шахтерская перекресток,Saran
pp_Camera,"Рубеж 010029-02_R0 Обработчик ул. Центральный проезд, 15 (магазин ""Хуторок"")",Saran
pp_Camera,"Рубеж 010039-02_R0 Обработчик ул. Чкалова, 1",Saran
pp_Camera,"Рубеж 010041-01_R0 Обработчик ул. Шахтерская, 10в (магазин ""Минимаркет"")",Saran
pp_Camera,Скоростемер 010011-09_S ул. Жамбыла - ул. Саранская перекресток,Saran
pp_Camera,Скоростемер 010011-10_S ул. Жамбыла - ул. Саранская перекресток,Saran
pp_Camera,Скоростемер 010022-03_S ул. Рабочая - ул. Фестивальная перекресток,Saran
pp_Camera,Скоростемер 010026-04_S ул. Чкалова - ул. Саранская перекресток (Автостанция),Saran
pp_Camera,"Скоростемер 010041-02_S ул. Шахтерская, 10в (магазин ""Минимаркет"")",Saran
pp_Camera,"Скоростемер 010046-02_S ул. Чкалова, въезд со стороны п. Шахан",Saran
pp_Camera,"Скоростемер 010047-02_S автодорога ""Кызылорда-Павлодар"", 934 км. (пос. Дубовка)",Saran
pp_Camera,"Скоростемер 010056-01_S Автодорога областного значения ""Караганда-Сарань-Шахтинск"" 5км (возле новой арки)",Saran
pp_Camera,"Статика 010002-01 мкр. 1а, 2 (Стела Победы)",Saran
pp_Camera,"Статика 010002-02 мкр. 1а, 2 (Стела Победы)",Saran
pp_Camera,"Статика 010002-03 мкр. 1а, 2 (Стела Победы)",Saran
pp_Camera,"Статика 010002-04 мкр. 1а, 2 (Стела Победы)",Saran
pp_Camera,"Статика 010002-05 мкр. 1а, 2 (Стела Победы)",Saran
pp_Camera,"Статика 010002-06 мкр. 1а, 2 (Стела Победы)",Saran
pp_Camera,"Статика 010002-08 мкр. 1а, 2 (Стела Победы)",Saran
pp_Camera,"Статика 010003-01 мкр. 1а, 26 (Опасный поворот возле ОШ №6)",Saran
pp_Camera,"Статика 010003-02 мкр. 1а, 26 (Опасный поворот возле ОШ №6)",Saran
pp_Camera,"Статика 010003-03 мкр. 1а, 26 (Опасный поворот возле ОШ №6)",Saran
pp_Camera,"Статика 010003-04 мкр. 1а, 26 (Опасный поворот возле ОШ №6)",Saran
pp_Camera,"Статика 010003-05 мкр. 1а, 26 (Опасный поворот возле ОШ №6)",Saran
pp_Camera,"Статика 010003-06 мкр. 1а, 26 (Опасный поворот возле ОШ №6)",Saran
pp_Camera,"Статика 010004-01 мкр. 1а, 5",Saran
pp_Camera,"Статика 010004-02 мкр. 1а, 5",Saran
pp_Camera,"Статика 010004-03 мкр. 1а, 5",Saran
pp_Camera,"Статика 010004-04 мкр. 1а, 5",Saran
pp_Camera,"Статика 010004-06 мкр. 1а, 5",Saran
pp_Camera,Статика 010005-01 ул. Жамбыла - ул. Абая перекресток,Saran
pp_Camera,Статика 010005-02 ул. Жамбыла - ул. Абая перекресток,Saran
pp_Camera,Статика 010005-03 ул. Жамбыла - ул. Абая перекресток,Saran
pp_Camera,Статика 010006-01 ул. Жамбыла - ул. Кужанова перекресток,Saran
pp_Camera,Статика 010006-02 ул. Жамбыла - ул. Кужанова перекресток,Saran
pp_Camera,Статика 010006-03 ул. Жамбыла - ул. Кужанова перекресток,Saran
pp_Camera,Статика 010007-01 ул. Жамбыла - ул. Рабочая перекресток,Saran
pp_Camera,Статика 010007-02 ул. Жамбыла - ул. Рабочая перекресток,Saran
pp_Camera,Статика 010007-03 ул. Жамбыла - ул. Рабочая перекресток,Saran
pp_Camera,Статика 010008-01 ул. Жамбыла - ул. Шахтерская перекресток,Saran
pp_Camera,Статика 010008-02 ул. Жамбыла - ул. Шахтерская перекресток,Saran
pp_Camera,Статика 010008-03 ул. Жамбыла - ул. Шахтерская перекресток,Saran
pp_Camera,Статика 010008-04 ул. Жамбыла - ул. Шахтерская перекресток,Saran
pp_Camera,Статика 010008-05 ул. Жамбыла - ул. Шахтерская перекресток,Saran
pp_Camera,Статика 010008-06 ул. Жамбыла - ул. Шахтерская перекресток,Saran
pp_Camera,Статика 010008-07 ул. Жамбыла - ул. Шахтерская перекресток,Saran
pp_Camera,Статика 010009-01 ул. Жамбыла - ул. Жакенова перекресток,Saran
pp_Camera,Статика 010009-02 ул. Жамбыла - ул. Жакенова перекресток,Saran
pp_Camera,Статика 010009-03 ул. Жамбыла - ул. Жакенова перекресток,Saran
pp_Camera,Статика 010009-04 ул. Жамбыла - ул. Жакенова перекресток,Saran
pp_Camera,Статика 010009-05 ул. Жамбыла - ул. Жакенова перекресток,Saran
pp_Camera,Статика 010009-06 ул. Жамбыла - ул. Жакенова перекресток,Saran
pp_Camera,Статика 010009-07 ул. Жамбыла - ул. Жакенова перекресток,Saran
pp_Camera,Статика 010009-08 ул. Жамбыла - ул. Жакенова перекресток,Saran
pp_Camera,Статика 010010-01 ул. Жамбыла - пр. Ленина перекресток,Saran
pp_Camera,Статика 010010-02 ул. Жамбыла - пр. Ленина перекресток,Saran
pp_Camera,Статика 010010-03 ул. Жамбыла - пр. Ленина перекресток,Saran
pp_Camera,Статика 010010-04 ул. Жамбыла - пр. Ленина перекресток,Saran
pp_Camera,Статика 010010-05 ул. Жамбыла - пр. Ленина перекресток,Saran
pp_Camera,Статика 010010-06 ул. Жамбыла - пр. Ленина перекресток,Saran
pp_Camera,Статика 010011-01 ул. Жамбыла - ул. Саранская перекресток,Saran
pp_Camera,Статика 010011-02 ул. Жамбыла - ул. Саранская перекресток,Saran
pp_Camera,Статика 010011-03 ул. Жамбыла - ул. Саранская перекресток,Saran
pp_Camera,Статика 010011-04 ул. Жамбыла - ул. Саранская перекресток,Saran
pp_Camera,Статика 010011-05 ул. Жамбыла - ул. Саранская перекресток,Saran
pp_Camera,Статика 010011-06 ул. Жамбыла - ул. Саранская перекресток,Saran
pp_Camera,Статика 010011-11 ул. Жамбыла - ул. Саранская перекресток,Saran
pp_Camera,Статика 010011-12 ул. Жамбыла - ул. Саранская перекресток,Saran
pp_Camera,Статика 010012-01 ул. Победы - ул. Абая перекресток,Saran
pp_Camera,Статика 010012-02 ул. Победы - ул. Абая перекресток,Saran
pp_Camera,Статика 010012-03 ул. Победы - ул. Абая перекресток,Saran
pp_Camera,Статика 010013-01 ул. Победы - ул. Кужанова перекресток,Saran
pp_Camera,Статика 010013-02 ул. Победы - ул. Кужанова перекресток,Saran
pp_Camera,Статика 010013-03 ул. Победы - ул. Кужанова перекресток,Saran
pp_Camera,Статика 010014-01 ул. Победы - пр. Ленина перекресток,Saran
pp_Camera,Статика 010014-02 ул. Победы - пр. Ленина перекресток,Saran
pp_Camera,Статика 010014-03 ул. Победы - пр. Ленина перекресток,Saran
pp_Camera,Статика 010014-04 ул. Победы - пр. Ленина перекресток,Saran
pp_Camera,Статика 010014-05 ул. Победы - пр. Ленина перекресток,Saran
pp_Camera,Статика 010014-06 ул. Победы - пр. Ленина перекресток,Saran
pp_Camera,Статика 010019-01 ул. Победы - ул. Рабочая перекресток,Saran
pp_Camera,Статика 010019-02 ул. Победы - ул. Рабочая перекресток,Saran
pp_Camera,Статика 010019-03 ул. Победы - ул. Рабочая перекресток,Saran
pp_Camera,Статика 010022-01 ул. Рабочая - ул. Фестивальная перекресток,Saran
pp_Camera,Статика 010022-02 ул. Рабочая - ул. Фестивальная перекресток,Saran
pp_Camera,Статика 010022-04 ул. Рабочая - ул. Фестивальная перекресток,Saran
pp_Camera,Статика 010023-01 ул. Чкалова - ул. Рабочая перекресток,Saran
pp_Camera,Статика 010023-02 ул. Чкалова - ул. Рабочая перекресток,Saran
pp_Camera,Статика 010023-03 ул. Чкалова - ул. Рабочая перекресток,Saran
pp_Camera,Статика 010026-05 ул. Чкалова - ул. Саранская перекресток (Автостанция),Saran
pp_Camera,Статика 010026-06 ул. Чкалова - ул. Саранская перекресток (Автостанция),Saran
pp_Camera,Статика 010027-01 ул. Чкалова - ул. Шахтерская перекресток,Saran
pp_Camera,Статика 010027-02 ул. Чкалова - ул. Шахтерская перекресток,Saran
pp_Camera,Статика 010028-01 ул. Центральный проезд - ул. Кошевого перекресток,Saran
pp_Camera,Статика 010028-02 ул. Центральный проезд - ул. Кошевого перекресток,Saran
pp_Camera,Статика 010028-03 ул. Центральный проезд - ул. Кошевого перекресток,Saran
pp_Camera,"Статика 010032-01 ул. Жамбыла, 72 (Сквер возле ""Общеобразовательная школа им. Абая"")",Saran
pp_Camera,"Статика 010032-02 ул. Жамбыла, 72 (Сквер возле ""Общеобразовательная школа им. Абая"")",Saran
pp_Camera,"Статика 010032-03 ул. Жамбыла, 72 (Сквер возле ""Общеобразовательная школа им. Абая"")",Saran
pp_Camera,"Статика 010033-01 ул. Жамбыла, 72 (Сквер возле ""Общеобразовательная школа им. Абая"")",Saran
pp_Camera,"Статика 010033-02 ул. Жамбыла, 72 (Сквер возле ""Общеобразовательная школа им. Абая"")",Saran
pp_Camera,"Статика 010033-03 ул. Жамбыла, 72 (Сквер возле ""Общеобразовательная школа им. Абая"")",Saran
pp_Camera,"Статика 010033-04 ул. Жамбыла, 72 (Сквер возле ""Общеобразовательная школа им. Абая"")",Saran
pp_Camera,"Статика 010033-05 ул. Жамбыла, 72 (Сквер возле ""Общеобразовательная школа им. Абая"")",Saran
pp_Camera,"Статика 010034-01 пр. Ленина (Сквер за ""Дом культуры г. Сарани"")",Saran
pp_Camera,"Статика 010034-02 пр. Ленина (Сквер за ""Дом культуры г. Сарани"")",Saran
pp_Camera,"Статика 010034-03 пр. Ленина (Сквер за ""Дом культуры г. Сарани"")",Saran
pp_Camera,"Статика 010034-04 пр. Ленина (Сквер за ""Дом культуры г. Сарани"")",Saran
pp_Camera,"Статика 010034-05 пр. Ленина (Сквер за ""Дом культуры г. Сарани"")",Saran
pp_Camera,"Статика 010034-06 пр. Ленина (Сквер за ""Дом культуры г. Сарани"")",Saran
pp_Camera,"Статика 010035-01 пр. Ленина (Площадь перед ""Дом культуры г. Сарани"")",Saran
pp_Camera,"Статика 010035-02 пр. Ленина (Площадь перед ""Дом культуры г. Сарани"")",Saran
pp_Camera,"Статика 010035-03 пр. Ленина (Площадь перед ""Дом культуры г. Сарани"")",Saran
pp_Camera,"Статика 010035-05 пр. Ленина (Площадь перед ""Дом культуры г. Сарани"")",Saran
pp_Camera,"Статика 010036-01 пр. Ленина (Площадь перед ""Дом культуры г. Сарани"")",Saran
pp_Camera,"Статика 010036-02 пр. Ленина (Площадь перед ""Дом культуры г. Сарани"")",Saran
pp_Camera,"Статика 010036-03 пр. Ленина (Площадь перед ""Дом культуры г. Сарани"")",Saran
pp_Camera,"Статика 010036-04 пр. Ленина (Площадь перед ""Дом культуры г. Сарани"")",Saran
pp_Camera,"Статика 010036-05 пр. Ленина (Площадь перед ""Дом культуры г. Сарани"")",Saran
pp_Camera,"Статика 010040-01 пр. Ленина, 2 (Дом Дружбы)",Saran
pp_Camera,"Статика 010040-02 пр. Ленина, 2 (Дом Дружбы)",Saran
pp_Camera,"Статика 010040-03 пр. Ленина, 2 (Дом Дружбы)",Saran
pp_Camera,"Статика 010041-03 ул. Шахтерская, 10в (магазин ""Минимаркет"")",Saran
pp_Camera,"Статика 010043-01 Стадион ""Сункар""",Saran
pp_Camera,"Статика 010043-02 Стадион ""Сункар""",Saran
pp_Camera,"Статика 010043-03 Стадион ""Сункар""",Saran
pp_Camera,"Статика 010043-04 Стадион ""Сункар""",Saran
pp_Camera,"Статика 010043-05 Стадион ""Сункар""",Saran
pp_Camera,"Статика 010043-06 Стадион ""Сункар""",Saran
pp_Camera,"Статика 010043-07 Стадион ""Сункар""",Saran
pp_Camera,"Статика 010043-08 Стадион ""Сункар""",Saran
pp_Camera,"Статика 010046-01 ул. Чкалова, въезд со стороны п. Шахан",Saran
pp_Camera,"Статика 010047-01 автодорога ""Кызылорда-Павлодар"", 934 км. (пос. Дубовка)",Saran
pp_Camera,Статика 010048-01 Пром зона РТИ ТП 1,Saran
pp_Camera,Статика 010048-02 Пром зона РТИ ТП 1,Saran
pp_Camera,Статика 010048-03 Пром зона РТИ ТП 1,Saran
pp_Camera,Статика 010049-01 Пром зона РТИ ТП 2,Saran
pp_Camera,Статика 010049-02 Пром зона РТИ ТП 2,Saran
pp_Camera,Статика 010049-03 Пром зона РТИ ТП 2,Saran
pp_Camera,Статика 010050-01 Пром зона РТИ ТП 3,Saran
pp_Camera,Статика 010050-02 Пром зона РТИ ТП 3,Saran
pp_Camera,Статика 010050-03 Пром зона РТИ ТП 3,Saran
pp_Camera,Статика 010051-01 Пром зона РТИ ТП 4,Saran
pp_Camera,Статика 010051-02 Пром зона РТИ ТП 4,Saran
pp_Camera,Статика 010051-03 Пром зона РТИ ТП 4,Saran
pp_Camera,Статика 010052-01 Пром зона РТИ ТП 5,Saran
pp_Camera,Статика 010052-02 Пром зона РТИ ТП 5,Saran
pp_Camera,Статика 010052-03 Пром зона РТИ ТП 5,Saran
pp_Camera,Статика 010053-01 Пром зона РТИ ТП 6,Saran
pp_Camera,Статика 010053-02 Пром зона РТИ ТП 6,Saran
pp_Camera,Статика 010053-03 Пром зона РТИ ТП 6,Saran
pp_Camera,Статика 010054-01 Пром зона РТИ ТП 7,Saran
pp_Camera,Статика 010054-02 Пром зона РТИ ТП 7,Saran
pp_Camera,Статика 010054-03 Пром зона РТИ ТП 7,Saran
pp_Camera,"ТЭС 010002-07_T0 Обработчик SAR-TES-01 мкр. 1а, 2 (Стела Победы)",Saran
pp_Camera,"ТЭС 010004-05_T0 Обработчик SAR-TES-02 мкр. 1а, 5",Saran
pp_Camera,ТЭС 010026-03_T0 Обработчик SAR-TES-03 ул. Чкалова - ул. Саранская перекресток (Автостанция),Saran
pp_Camera,"ТЭС 010035-04_T0 Обработчик SAR-TES-04 пр. Ленина (Площадь перед ""Дом культуры г. Сарани"")",Saran
